instance,algorithm,run_id,best_cost,decades,seed
kroA100,SBA,21,21916.0,10000,6979437
kroA100,SBA,22,22666.0,10000,6979454
kroA100,SBA,23,22306.0,10000,6979471
kroA100,SBA,24,22634.0,10000,6979488
kroA100,SBA,25,22752.0,10000,6979505
kroA100,SBA,26,22620.0,10000,6979522
kroA100,SBA,27,22857.0,10000,6979539
kroA100,SBA,28,21964.0,10000,6979556
kroA100,SBA,29,22169.0,10000,6979573
kroA100,EA,0,22399.0,10000,6979056
kroA100,EA,1,22364.0,10000,6979073
kroA100,EA,2,23014.0,10000,6979090
kroA100,EA,3,22048.0,10000,6979107
kroA100,EA,4,22634.0,10000,6979124
kroA100,EA,5,22839.0,10000,6979141
kroA100,EA,6,22496.0,10000,6979158
kroA100,EA,7,21960.0,10000,6979175
kroA100,EA,8,22109.0,10000,6979192
kroA100,EA,9,22588.0,10000,6979209
kroA100,EA,10,23287.0,10000,6979226
kroA100,EA,11,22826.0,10000,6979243
kroA100,EA,12,22278.0,10000,6979260
kroA100,EA,13,23257.0,10000,6979277
kroA100,EA,14,21885.0,10000,6979294
kroA100,EA,15,22678.0,10000,6979311
kroA100,EA,16,21611.0,10000,6979328
kroA100,EA,17,22096.0,10000,6979345
kroA100,EA,18,22600.0,10000,6979362
kroA100,EA,19,22010.0,10000,6979379
kroA100,EA,20,22641.0,10000,6979396
kroA100,EA,21,22560.0,10000,6979413
kroA100,EA,22,22375.0,10000,6979430
kroA100,EA,23,21927.0,10000,6979447
kroA100,EA,24,22440.0,10000,6979464
kroA100,EA,25,21798.0,10000,6979481
kroA100,EA,26,22009.0,10000,6979498
kroA100,EA,27,21849.0,10000,6979515
kroA100,EA,28,23318.0,10000,6979532
kroA100,EA,29,21772.0,10000,6979549
kroA100,ICA,0,24085.0,10000,6979005
kroA100,ICA,1,23126.0,10000,6979022
kroA100,ICA,2,24480.0,10000,6979039
kroA100,ICA,3,24140.0,10000,6979056
kroA100,ICA,4,24168.0,10000,6979073
kroA100,ICA,5,24710.0,10000,6979090
kroA100,ICA,6,23937.0,10000,6979107
kroA100,ICA,7,24058.0,10000,6979124
kroA100,ICA,8,24342.0,10000,6979141
kroA100,ICA,9,23602.0,10000,6979158
kroA100,ICA,10,23981.0,10000,6979175
kroA100,ICA,11,23934.0,10000,6979192
kroA100,ICA,12,24561.0,10000,6979209
kroA100,ICA,13,24671.0,10000,6979226
kroA100,ICA,14,24063.0,10000,6979243
kroA100,ICA,15,23950.0,10000,6979260
kroA100,ICA,16,24511.0,10000,6979277
kroA100,ICA,17,24613.0,10000,6979294
kroA100,ICA,18,24635.0,10000,6979311
kroA100,ICA,19,24476.0,10000,6979328
kroA100,ICA,20,23759.0,10000,6979345
kroA100,ICA,21,23762.0,10000,6979362
kroA100,ICA,22,24145.0,10000,6979379
kroA100,ICA,23,24672.0,10000,6979396
kroA100,ICA,24,24183.0,10000,6979413
kroA100,ICA,25,23844.0,10000,6979430
kroA100,ICA,26,24853.0,10000,6979447
kroA100,ICA,27,24131.0,10000,6979464
kroA100,ICA,28,23218.0,10000,6979481
kroA100,ICA,29,24214.0,10000,6979498
